日期,最高气温,最低气温,天气,风向
2021-08-16 星期一,24℃,21℃,阴到小雨,东北风 2级
2021-08-17 星期二,25℃,22℃,小雨,北风 2级
2021-08-18 星期三,27℃,23℃,多云,北风 2级
2021-08-19 星期四,32℃,24℃,阴,东北风 2级
2021-08-20 星期五,32℃,24℃,多云,东北风 2级
2021-08-21 星期六,33℃,22℃,阴,东风 1级
2021-08-22 星期日,26℃,21℃,小雨,北风 3级
2021-08-23 星期一,34℃,20℃,阴,南风 2级
2021-08-24 星期二,32℃,21℃,多云,南风 1级
2021-08-25 星期三,23℃,18℃,阴,北风 2级
2021-08-26 星期四,22℃,18℃,阴到小雨,西风 2级
2021-08-27 星期五,27℃,19℃,阴,南风 2级
2021-08-28 星期六,22℃,20℃,小雨到中雨,南风 1级
2021-09-01 星期三,30℃,22℃,多云,北风 1级
2021-09-02 星期四,29℃,23℃,阴,北风 1级
2021-09-03 星期五,28℃,21℃,阴,北风 3级
2021-09-04 星期六,27℃,21℃,阴,东北风 3级
2021-09-05 星期日,29℃,20℃,阴,北风 2级
2021-09-06 星期一,29℃,20℃,阴,西南风 2级
2021-09-07 星期二,28℃,19℃,多云,南风 1级
2021-09-08 星期三,27℃,19℃,多云,北风 0级
2021-09-09 星期四,29℃,20℃,多云,南风 2级
2021-09-10 星期五,30℃,22℃,多云,东风 1级
2021-09-11 星期六,29℃,23℃,晴,北风 2级
2021-09-12 星期日,31℃,22℃,小雨,北风 0级
2021-09-13 星期一,26℃,21℃,多云,北风 1级
2021-09-14 星期二,23℃,21℃,小雨,北风 2级
2021-09-15 星期三,23℃,20℃,多云,北风 1级
2021-09-16 星期四,32℃,21℃,多云,北风 3级
2021-09-17 星期五,25℃,20℃,多云,北风 0级
2021-09-18 星期六,20℃,18℃,小雨,西南风 2级
2021-09-19 星期日,31℃,17℃,晴,北风 0级
2021-09-20 星期一,31℃,19℃,晴,南风 1级
2021-09-21 星期二,31℃,22℃,多云,北风 0级
2021-09-22 星期三,31℃,22℃,多云,北风 2级
2021-09-23 星期四,26℃,22℃,多云,北风 2级
2021-09-24 星期五,28℃,22℃,阴到小雨,北风 2级
2021-09-25 星期六,27℃,21℃,多云,东北风 2级
2021-09-26 星期日,25℃,18℃,多云,西北风 1级
2021-09-27 星期一,26℃,19℃,多云,东北风 1级
2021-09-28 星期二,30℃,18℃,晴,北风 0级
2021-10-01 星期五,27℃,21℃,多云,东北风 2级
2021-10-02 星期六,30℃,23℃,多云,北风 1级
2021-10-03 星期日,31℃,20℃,多云,北风 1级
2021-10-04 星期一,23℃,17℃,小雨,东北风 2级
2021-10-05 星期二,20℃,18℃,小雨,北风 2级
2021-10-06 星期三,18℃,16℃,多云,北风 0级
2021-10-07 星期四,22℃,16℃,多云,北风 0级
2021-10-08 星期五,21℃,17℃,小雨,北风 2级
2021-10-09 星期六,20℃,15℃,阴,北风 2级
2021-10-10 星期日,16℃,13℃,多云,西风 1级
2021-10-11 星期一,20℃,14℃,多云,西北风 1级
2021-10-12 星期二,17℃,15℃,阴,北风 0级
2021-10-13 星期三,20℃,14℃,多云,北风 0级
2021-10-14 星期四,22℃,13℃,多云,北风 1级
2021-10-15 星期五,17℃,13℃,多云,西南风 1级
2021-10-16 星期六,19℃,12℃,多云,东南风 1级
2021-10-17 星期日,16℃,12℃,多云,北风 1级
2021-10-18 星期一,18℃,13℃,多云,北风 0级
2021-10-19 星期二,16℃,13℃,多云,北风 1级
2021-10-20 星期三,17℃,12℃,多云,西风 1级
2021-10-21 星期四,16℃,12℃,小雨,西南风 2级
2021-10-22 星期五,16℃,12℃,阴,东南风 1级
2021-10-23 星期六,17℃,13℃,阴,北风 2级
2021-10-24 星期日,18℃,14℃,多云,西南风 1级
2021-10-25 星期一,16℃,13℃,多云,北风 1级
2021-10-26 星期二,19℃,14℃,多云,东北风 1级
2021-10-27 星期三,20℃,7℃,阴,东北风 2级
2021-10-28 星期四,16℃,13℃,阴,北风 1级
2021-11-01 星期一,17℃,12℃,小雨,北风 2级
2021-11-02 星期二,15℃,13℃,多云,北风 1级
2021-11-03 星期三,16℃,12℃,多云,北风 1级
2021-11-04 星期四,18℃,13℃,阴,东风 1级
2021-11-05 星期五,20℃,13℃,阴,西风 1级
2021-11-06 星期六,17℃,7℃,多云,北风 2级
2021-11-07 星期日,7℃,4℃,多云,北风 1级
2021-11-08 星期一,12℃,6℃,晴,北风 1级
2021-11-09 星期二,15℃,6℃,多云,西南风 2级
2021-11-10 星期三,15℃,8℃,多云,北风 0级
2021-11-11 星期四,14℃,6℃,多云,东风 2级
2021-11-12 星期五,16℃,4℃,晴,西南风 2级
2021-11-13 星期六,13℃,8℃,多云,北风 1级
2021-11-14 星期日,14℃,8℃,多云,西南风 1级
2021-11-15 星期一,13℃,9℃,阴,东北风 1级
2021-11-16 星期二,13℃,8℃,阴,西南风 1级
2021-11-17 星期三,16℃,6℃,多云,西风 1级
2021-11-18 星期四,15℃,9℃,阴,北风 2级
2021-11-19 星期五,16℃,12℃,阴,东风 1级
2021-11-20 星期六,15℃,11℃,多云,东南风 1级
2021-11-21 星期日,13℃,0℃,多云,北风 3级
2021-11-22 星期一,12℃,7℃,小雨,南风 1级
2021-11-23 星期二,15℃,6℃,多云,西南风 2级
2021-11-24 星期三,15℃,7℃,晴,东北风 1级
2021-11-25 星期四,15℃,10℃,阴,东风 1级
2021-11-26 星期五,13℃,10℃,多云,东南风 2级
2021-11-27 星期六,12℃,9℃,多云,南风 1级
2021-11-28 星期日,14℃,2℃,晴,北风 1级
2021-12-01 星期三,17℃,5℃,多云,南风 1级
2021-12-02 星期四,17℃,5℃,多云,西南风 2级
2021-12-03 星期五,16℃,9℃,多云,东南风 2级
2021-12-04 星期六,16℃,5℃,多云,北风 2级
2021-12-05 星期日,18℃,7℃,霾,西南风 1级
2021-12-06 星期一,13℃,10℃,霾,北风 2级
2021-12-07 星期二,11℃,7℃,阴,北风 2级
2021-12-08 星期三,12℃,5℃,晴,西风 1级
2021-12-09 星期四,13℃,10℃,多云,东南风 0级
2021-12-10 星期五,10℃,8℃,阴,北风 1级
2021-12-11 星期六,12℃,8℃,多云,东北风 0级
2021-12-12 星期日,15℃,7℃,多云,北风 1级
2021-12-13 星期一,13℃,6℃,阴,南风 1级
2021-12-14 星期二,11℃,9℃,阴,北风 1级
2021-12-15 星期三,11℃,6℃,阴,北风 1级
2021-12-16 星期四,13℃,7℃,阴,北风 1级
2021-12-17 星期五,9℃,5℃,多云,北风 1级
2021-12-18 星期六,11℃,4℃,多云,东北风 1级
2021-12-19 星期日,11℃,5℃,阴,北风 1级
2021-12-20 星期一,14℃,4℃,晴,南风 1级
2021-12-21 星期二,12℃,6℃,晴,东南风 1级
2021-12-22 星期三,12℃,7℃,多云,西南风 1级
2021-12-23 星期四,11℃,6℃,多云,北风 1级
2021-12-24 星期五,15℃,5℃,多云,东风 2级
2021-12-25 星期六,9℃,2℃,多云,北风 2级
2021-12-26 星期日,4℃,1℃,多云,北风 1级
2021-12-27 星期一,4℃,1℃,多云,东北风 1级
2021-12-28 星期二,4℃,0℃,多云,东北风 1级
2020-01-01 星期三,11℃,6℃,多云转阴,东北风 1级
2020-01-02 星期四,12℃,6℃,多云,东北风 1级
2020-01-03 星期五,13℃,5℃,多云,西南风 1级
2020-01-04 星期六,11℃,7℃,阴,东风 1级
2020-01-05 星期日,11℃,7℃,阴,东北风 2级
2020-01-06 星期一,10℃,6℃,阴转多云,西南风 2级
2020-01-07 星期二,12℃,4℃,多云,南风 2级
2020-01-08 星期三,11℃,5℃,多云,东北风 1级
2020-01-09 星期四,9℃,6℃,阴转雨,东北风 1级
2020-01-10 星期五,9℃,3℃,阴转多云,东北风 2级
2020-01-11 星期六,12℃,3℃,多云转晴,南风 2级
2020-01-12 星期日,11℃,5℃,阴,东风 2级
2020-01-13 星期一,10℃,6℃,阴,东北风 2级
2020-01-14 星期二,8℃,6℃,阴,东北风 2级
2020-01-15 星期三,9℃,5℃,多云,东北风 2级
2020-01-16 星期四,10℃,6℃,多云转阴,南风 1级
2020-01-17 星期五,9℃,5℃,多云,东北风 2级
2020-01-18 星期六,8℃,5℃,阴转多云,北风 2级
2020-01-19 星期日,11℃,4℃,多云,南风 2级
2020-01-20 星期一,10℃,5℃,阴,东北风 1级
2020-01-21 星期二,11℃,5℃,多云,东北风 2级
2020-01-22 星期三,11℃,6℃,阴,东北风 1级
2020-01-23 星期四,12℃,7℃,阴转雨,西南风 2级
2020-01-24 星期五,10℃,6℃,阴,东北风 2级
2020-01-25 星期六,11℃,5℃,多云,东风 2级
2020-01-26 星期日,8℃,4℃,阴转雨,东北风 2级
2020-01-27 星期一,7℃,4℃,多云,北风 2级
2020-01-28 星期二,8℃,4℃,多云,西南风 1级
2020-02-01 星期六,10℃,5℃,多云转雨,东北风 1级
2020-02-02 星期日,11℃,6℃,阴,北风 2级
2020-02-03 星期一,12℃,5℃,多云,南风 2级
2020-02-04 星期二,11℃,6℃,阴,南风 1级
2020-02-05 星期三,10℃,6℃,多云转雨,北风 2级
2020-02-06 星期四,12℃,6℃,阴转多云,西南风 2级
2020-02-07 星期五,11℃,7℃,阴,东北风 2级
2020-02-08 星期六,12℃,6℃,多云,东北风 2级
2020-02-09 星期日,14℃,6℃,多云,南风 2级
2020-02-10 星期一,14℃,7℃,多云,南风 1级
2020-02-11 星期二,15℃,8℃,多云,南风 1级
2020-02-12 星期三,16℃,9℃,多云,南风 1级
2020-02-13 星期四,17℃,10℃,多云,东南风 1级
2020-02-14 星期五,15℃,10℃,阴,东北风 2级
2020-02-15 星期六,11℃,3℃,多云,东南风 2级
2020-02-16 星期日,13℃,1℃,晴转多云,东南风 2级
2020-02-17 星期一,12℃,4℃,多云,南风 2级
2020-02-18 星期二,11℃,4℃,小雨转阴,东南风 2级
2020-02-19 星期三,13℃,6℃,多云,南风 2级
2020-02-20 星期四,13℃,6℃,多云转阴,东北风 2级
2020-02-21 星期五,16℃,7℃,多云,东南风 2级
2020-02-22 星期六,15℃,9℃,多云,东风 1级
2020-02-23 星期日,15℃,9℃,多云,东风 1级
2020-02-24 星期一,17℃,9℃,晴转多云,东南风 2级
2020-02-25 星期二,19℃,11℃,多云转晴,南风 2级
2020-02-26 星期三,20℃,13℃,阴,东南风 1级
2020-02-27 星期四,17℃,13℃,多云转阴,东北风 2级
2020-02-28 星期五,20℃,11℃,多云,西南风 2级
2020-03-01 星期日,18℃,13℃,多云,东风 2级
2020-03-02 星期一,12℃,10℃,多云转雨,东北风 2级
2020-03-03 星期二,16℃,9℃,小雨转雨,西风 2级
2020-03-04 星期三,17℃,9℃,阴转多云,东南风 2级
2020-03-05 星期四,15℃,10℃,多云,东南风 2级
2020-03-06 星期五,16℃,9℃,多云,东风 1级
2020-03-07 星期六,19℃,12℃,多云,南风 2级
2020-03-08 星期日,19℃,12℃,阴,东北风 2级
2020-03-09 星期一,18℃,11℃,小雨转阴,西北风 2级
2020-03-10 星期二,18℃,8℃,阴,西南风 2级
2020-03-11 星期三,16℃,10℃,多云,东风 2级
2020-03-12 星期四,18℃,10℃,多云,东风 1级
2020-03-13 星期五,19℃,12℃,多云,东风 2级
2020-03-14 星期六,19℃,11℃,多云,南风 2级
2020-03-15 星期日,17℃,11℃,阴,东北风 2级
2020-03-16 星期一,14℃,11℃,阴,东北风 2级
2020-03-17 星期二,22℃,11℃,晴转多云,西南风 2级
2020-03-18 星期三,22℃,11℃,晴转多云,东南风 2级
2020-03-19 星期四,26℃,12℃,晴转多云,南风 2级
2020-03-20 星期五,25℃,13℃,晴转多云,东北风 2级
2020-03-21 星期六,26℃,14℃,小雨转阴,东北风 2级
2020-03-22 星期日,26℃,14℃,晴转多云,西风 2级
2020-03-23 星期一,26℃,14℃,阴,东风 2级
2020-03-24 星期二,23℃,15℃,多云,西北风 2级
2020-03-25 星期三,25℃,16℃,晴转多云,东南风 2级
2020-03-26 星期四,21℃,16℃,阴转雨,东北风 2级
2020-03-27 星期五,17℃,13℃,阴,东风 2级
2020-03-28 星期六,14℃,9℃,多云转阴,东北风 2级
2020-04-01 星期三,19℃,11℃,多云转阴,东北风 2级
2020-04-02 星期四,15℃,6℃,多云转雨,东北风 2级
2020-04-03 星期五,13℃,10℃,阴转雨,东北风 2级
2020-04-04 星期六,14℃,9℃,多云转阴,东风 2级
2020-04-05 星期日,16℃,10℃,阴,东风 2级
2020-04-06 星期一,17℃,10℃,多云,东南风 2级
2020-04-07 星期二,20℃,12℃,阴,东南风 2级
2020-04-08 星期三,24℃,12℃,晴,南风 2级
2020-04-09 星期四,24℃,13℃,多云,东风 2级
2020-04-10 星期五,23℃,13℃,中雨转雨,东北风 2级
2020-04-11 星期六,22℃,13℃,晴转多云,北风 2级
2020-04-12 星期日,22℃,11℃,小雨转雨,南风 2级
2020-04-13 星期一,17℃,12℃,多云,西南风 2级
2020-04-14 星期二,22℃,11℃,晴,南风 1级
2020-04-15 星期三,24℃,13℃,多云,东南风 2级
2020-04-16 星期四,27℃,16℃,阴,东北风 2级
2020-04-17 星期五,25℃,17℃,多云,东北风 3级
2020-04-18 星期六,24℃,16℃,多云,东风 2级
2020-04-19 星期日,21℃,15℃,阴,东北风 2级
2020-04-20 星期一,22℃,14℃,阴,东北风 2级
2020-04-21 星期二,17℃,12℃,阴,东北风 2级
2020-04-22 星期三,16℃,10℃,多云转雨,东风 2级
2020-04-23 星期四,16℃,9℃,阴转多云,东北风 2级
2020-04-24 星期五,23℃,11℃,阴转多云,东南风 2级
2020-04-25 星期六,23℃,11℃,多云,南风 2级
2020-04-26 星期日,28℃,13℃,多云,南风 2级
2020-04-27 星期一,31℃,15℃,晴,南风 2级
2020-04-28 星期二,30℃,16℃,阴转多云,东南风 2级
2020-05-01 星期五,31℃,17℃,晴转多云,南风 2级
2020-05-02 星期六,34℃,19℃,晴,南风 2级
2020-05-03 星期日,36℃,22℃,多云,南风 2级
2020-05-04 星期一,31℃,21℃,多云,东风 2级
2020-05-05 星期二,31℃,21℃,多云,西北风 1级
2020-05-06 星期三,30℃,21℃,多云,东风 2级
2020-05-07 星期四,27℃,21℃,多云转阴,东北风 3级
2020-05-08 星期五,27℃,18℃,多云转阴,西南风 2级
2020-05-09 星期六,24℃,16℃,晴转多云,西风 2级
2020-05-10 星期日,28℃,14℃,多云转雨,南风 2级
2020-05-11 星期一,28℃,16℃,小雨转多云,西风 2级
2020-05-12 星期二,26℃,15℃,阴转多云,西南风 1级
2020-05-13 星期三,25℃,15℃,阴,东风 2级
2020-05-14 星期四,28℃,17℃,晴转多云,东南风 2级
2020-05-15 星期五,30℃,17℃,多云转雨,东南风 2级
2020-05-16 星期六,30℃,19℃,多云转阴,西风 2级
2020-05-17 星期日,35℃,21℃,晴,南风 2级
2020-05-18 星期一,34℃,20℃,多云,南风 2级
2020-05-19 星期二,32℃,20℃,多云,东风 2级
2020-05-20 星期三,28℃,20℃,小雨转雨,东北风 3级
2020-05-21 星期四,26℃,19℃,阴,西南风 2级
2020-05-22 星期五,32℃,21℃,多云转阴,南风 2级
2020-05-23 星期六,31℃,20℃,多云转雨,东风 2级
2020-05-24 星期日,27℃,18℃,多云转阴,东北风 3级
2020-05-25 星期一,25℃,16℃,阴,西南风 2级
2020-05-26 星期二,26℃,17℃,阴,南风 2级
2020-05-27 星期三,23℃,16℃,阴,西南风 2级
2020-05-28 星期四,25℃,16℃,晴转多云,南风 3级
2020-06-01 星期一,28℃,21℃,阴,东北风 2级
2020-06-02 星期二,25℃,20℃,阴,西风 2级
